adult,id,original_language,overview,popularity,release_date,title,vote_average,genres,weighted_rating,genres_text,release_year,content
False,1226863,en,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",1.0,2026-04-01,The Super Mario Galaxy Movie,0.7431693989071038,"['Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",0.5199642466730714,Family Comedy Adventure Fantasy Animation,2026.0,"A family, comedy, adventure, fantasy, animation movie.If you like family, comedy, adventure, fantasy, animation movies watch this. The Super Mario Galaxy Movie is a family, comedy, adventure, fantasy and animation film. Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade."
False,1523145,ru,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers.",0.5215801199877651,2026-03-26,Your Heart Will Be Broken,0.7633879781420765,"['Romance', 'Drama']",0.5214680892141432,Romance Drama,2026.0,"A romance, drama movie.If you like romance, drama movies watch this. Your Heart Will Be Broken is a romance and drama film. High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers."
False,83533,en,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",0.3948026251372997,2025-12-17,Avatar: Fire and Ash,0.8087431693989071,"['Science Fiction', 'Adventure', 'Fantasy']",0.6337929456547144,Science Fiction Adventure Fantasy,2025.0,"A science fiction, adventure, fantasy movie.If you like science fiction, adventure, fantasy movies watch this. Avatar: Fire and Ash is a science fiction, adventure and fantasy film. In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits."
False,980431,en,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.",0.3782953593705999,2026-10-09,"Avatar: Aang, The Last Airbender",0.0,"['Animation', 'Action', 'Adventure', 'Fantasy']",0.5182121594009468,Animation Action Adventure Fantasy,2026.0,"A animation, action, adventure, fantasy movie.If you like animation, action, adventure, fantasy movies watch this. Avatar: Aang, The Last Airbender is a animation, action, adventure and fantasy film. Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve."
False,1470130,en,"Rebecca Owens, a recent mortuary science graduate takes a night shift job at River Fields Mortuary. Initially, the job seems straightforward — embalming bodies, completing paperwork, and keeping things tidy. But once Rebecca starts working the night shift, things take a dark turn.",0.3149783784459295,2026-02-13,The Mortuary Assistant,0.5901639344262295,"['Horror', 'Mystery']",0.4931676725447442,Horror Mystery,2026.0,"A horror, mystery movie.If you like horror, mystery movies watch this. The Mortuary Assistant is a horror and mystery film. Rebecca Owens, a recent mortuary science graduate takes a night shift job at River Fields Mortuary. Initially, the job seems straightforward — embalming bodies, completing paperwork, and keeping things tidy. But once Rebecca starts working the night shift, things take a dark turn."
False,687163,en,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",0.3132341430916037,2026-03-15,Project Hail Mary,0.8978142076502732,"['Science Fiction', 'Adventure']",0.7434186647189283,Science Fiction Adventure,2026.0,"A science fiction, adventure movie.If you like science fiction, adventure movies watch this. Project Hail Mary is a science fiction and adventure film. Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone."
False,1327819,en,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",0.2692199848896027,2026-03-04,Hoppers,0.8291803278688524,"['Animation', 'Family', 'Science Fiction', 'Comedy', 'Adventure']",0.5858946406171355,Animation Family Science Fiction Comedy Adventure,2026.0,"A animation, family, science fiction, comedy, adventure movie.If you like animation, family, science fiction, comedy, adventure movies watch this. Hoppers is a animation, family, science fiction, comedy and adventure film. Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined."
False,1290417,en,"When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos, and something far more frightening onto shore: hungry sharks.",0.245466547165029,2026-04-10,Thrash,0.6575956284153006,"['Horror', 'Thriller']",0.4677005726729182,Horror Thriller,2026.0,"A horror, thriller movie.If you like horror, thriller movies watch this. Thrash is a horror and thriller film. When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos, and something far more frightening onto shore: hungry sharks."
False,20222,es,"In Santiago, Chile, the schoolteacher Luisa proposes a debate about sex with the parents of her students with the intention of giving classes about sex education to the youngsters.",0.3420884015264728,2003-03-27,Sex with Love,0.7124590163934427,"['Comedy', 'Romance']",0.5051773803432329,Comedy Romance,2003.0,"A comedy, romance movie.If you like comedy, romance movies watch this. Sex with Love is a comedy and romance film. In Santiago, Chile, the schoolteacher Luisa proposes a debate about sex with the parents of her students with the intention of giving classes about sex education to the youngsters."
False,1084577,en,"Two marketing executives go ""balls out"" and pitch a bold full‑coverage condom sponsorship with the World Cup. After their drunken celebration in Brazil sparks a global scandal, they must outrun furious fans, criminals, and power-hungry officials to salvage their careers and make it home alive.",0.2553123286597548,2026-04-15,Balls Up,0.5997814207650274,"['Comedy', 'Action', 'Adventure']",0.4933373531539338,Comedy Action Adventure,2026.0,"A comedy, action, adventure movie.If you like comedy, action, adventure movies watch this. Balls Up is a comedy, action and adventure film. Two marketing executives go ""balls out"" and pitch a bold full‑coverage condom sponsorship with the World Cup. After their drunken celebration in Brazil sparks a global scandal, they must outrun furious fans, criminals, and power-hungry officials to salvage their careers and make it home alive."
